label,best_sampler,best_mean_objective,best_mean_rank,best_wins,uncertainty_marker,mean_gap_to_second,split_variability,gaussian_weight,knn_weight,hybrid_weight,pair_weight,interpretation
Core1 high Pe,hybrid,316.35322785284086,2.0,1,overlapping,2.4828957113813317,24.18540631811564,0.22916666666666669,0.33333333333333337,0.31250000000000006,0.125,high Pe has a hybrid lowest-mean mechanism with broad mixture support
Core1 baseline,gaussian_bayes,319.50663065617175,3.0,0,overlapping,0.23581099619445922,22.510073961201762,0.25,0.22916666666666666,0.27083333333333337,0.25,Gaussian/Bayes has the lowest mean objective but all memories remain active
Core1 low Pe,pooled_validation_mixture,319.3357916865368,1.5,2,overlapping,7.465906619763132,26.23424237473336,0.375,0.22916666666666669,0.31250000000000006,0.08333333333333334,higher diffusion gives the lowest mean objective to a validation mixture with substantial velocity support
Core2 graph flow,pooled_validation_mixture,325.98469365300423,3.0,2,overlapping,3.554815526929076,22.324660396276055,0.2708333333333333,0.125,0.39583333333333337,0.20833333333333331,second geometry gives the lowest mean objective to a mixture with the largest learned-context share
Core2 OpenFOAM 18 um,knn_conditional,1570.01219522736,3.75,1,overlapping,1.8425490112092575,102.92829439362299,0.08333333333333334,0.39583333333333337,0.25,0.27083333333333337,tight coarse OpenFOAM gives the lowest mean objective to archive proximity
Core2 OpenFOAM 12 um,gaussian_bayes,1647.69397643097,2.0,2,overlapping,26.152708031510656,78.96683239429443,0.12499999999999999,0.5,0.125,0.25,intermediate OpenFOAM resolution gives the lowest mean objective to velocity continuity
Core2 OpenFOAM 6 um,pair_rerank,1657.0160691201552,2.5,0,overlapping,17.933696297073766,108.62023529112284,0.3125,0.39583333333333337,0.08333333333333333,0.20833333333333334,strict full-resolution flow gives the lowest mean objective to pair organization while mixtures retain multiple memories
