count,repeats,btc_score_mean,btc_score_std,btc_score_p05,btc_score_p95,btc_quantile_mae_mean,btc_quantile_mae_std,btc_quantile_mae_p05,btc_quantile_mae_p95,btc_coverage_deficit_mean,btc_coverage_deficit_std,btc_coverage_deficit_p05,btc_coverage_deficit_p95,dilution_log_mae_mean,dilution_log_mae_std,dilution_log_mae_p05,dilution_log_mae_p95,pair_quantile_mae_mean,pair_quantile_mae_std,pair_quantile_mae_p05,pair_quantile_mae_p95,reaction_abs_error_mean,reaction_abs_error_std,reaction_abs_error_p05,reaction_abs_error_p95,btc_q50_plane10_mean,btc_q50_plane10_std,btc_q50_plane10_p05,btc_q50_plane10_p95,btc_q90_plane14_mean,btc_q90_plane14_std,btc_q90_plane14_p05,btc_q90_plane14_p95,btc_coverage_plane14_mean,btc_coverage_plane14_std,btc_coverage_plane14_p05,btc_coverage_plane14_p95,dilution_index_t400_mean,dilution_index_t400_std,dilution_index_t400_p05,dilution_index_t400_p95,dilution_occupied_bins_t400_mean,dilution_occupied_bins_t400_std,dilution_occupied_bins_t400_p05,dilution_occupied_bins_t400_p95,pair_q50_t400_mean,pair_q50_t400_std,pair_q50_t400_p05,pair_q50_t400_p95,pair_q90_t400_mean,pair_q90_t400_std,pair_q90_t400_p05,pair_q90_t400_p95,encounter_probability_mean,encounter_probability_std,encounter_probability_p05,encounter_probability_p95
500,30,10.20930556,4.361116879,5.104791667,17.96680556,8.815555556,3.24544492,3.922777778,14.68666667,0.005575,0.008203146007,0,0.02428333333,0.6913528195,0.02489064922,0.6490562254,0.7265372172,0.5903668638,0.2871490601,0.2369783238,1.007450292,0.001736666667,0.001212146382,0.00029,0.00361,309.65,11.63092637,290.7,327.2,472.3566667,6.919272601,461.23,483.52,0.2369333333,0.01565783561,0.2114,0.2613,7741.835782,215.9673693,7510.769195,8061.890713,333.6,6.815803138,322.8,343,37.16949628,0.6844783208,36.02071578,38.03115716,64.49805689,0.9512828594,62.96187921,65.9557276,0.01879,0.001753489133,0.01639,0.02143
2500,30,4.596805556,1.353149321,2.318333333,6.779166667,3.607777778,1.069529006,2.136666667,5.332222222,0.003956111111,0.00492159695,0,0.01245666667,0.175250222,0.01775663227,0.1517520641,0.2011242912,0.3712316779,0.1848303606,0.1322694534,0.6646866959,0.001446666667,0.001000252842,0.00019,0.00312,309.2166667,5.052625356,302.45,317.275,474.5,2.462407009,470.56,478.55,0.233,0.008846741072,0.21988,0.2467,14853.29869,324.0951799,14410.39201,15310.5888,820.2,13.16578638,795.45,836.65,36.91003826,0.4678911958,36.30693015,37.64577969,64.42708965,0.5730563969,63.49705032,65.17357291,0.01912,0.001537665046,0.01688,0.02133
5000,30,3.127314815,1.049233014,1.419097222,4.466111111,2.403703704,0.6758394073,1.167222222,3.375,0.002894444444,0.002824717574,0,0.007793333333,0.07972089401,0.01157888931,0.06251119029,0.09991434658,0.2628925882,0.1079968345,0.08892238744,0.4368999468,0.001196666667,0.00079675347,9e-05,0.00241,309.1,3.296811417,303.45,313.55,473.63,1.784444277,471,475.775,0.2314133333,0.005364746569,0.2243,0.24122,17000.11243,243.928406,16599.01584,17303.48781,1049.733333,12.42892437,1030.8,1067.75,36.96032974,0.2730150354,36.47438496,37.31261866,64.58137593,0.4251725106,63.86559733,65.17877214,0.01905,0.001087467796,0.0177,0.020455
10000,30,1.779398148,0.6839316412,0.84,3.022222222,1.419259259,0.4662371069,0.815,2.135555556,0.001440555556,0.001721448442,0,0.004208333333,0.02743061543,0.005866713511,0.0192611043,0.03655545014,0.2312513063,0.09538086021,0.1158532338,0.3886736573,0.001506666667,0.001232864154,0.0002,0.003755,308.9333333,1.915154326,306,311.55,473.7166667,1.081532544,472,475.11,0.2318933333,0.002831343453,0.227395,0.23595,18309.57027,137.0004674,18081.27301,18499.72344,1249.833333,8.166725311,1237.6,1261.55,36.83033612,0.2717220411,36.39245344,37.23877599,64.43874495,0.2854337656,64.00520572,64.87315163,0.01883333333,0.001568511997,0.016245,0.021085
20000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2820474423,0,0.2820474423,0.2820474423,0.0026,0,0.0026,0.0026,309,0,309,309,474,0,474,474,0.23195,0,0.23195,0.23195,19067.5287,0,19067.5287,19067.5287,1415,0,1415,1415,37.21939786,0,37.21939786,37.21939786,64.63181572,0,64.63181572,64.63181572,0.0174,0,0.0174,0.0174
